Company;Alpha;h*
LSNGP;0.890000;0.018000
LSRG;0.990000;0.282000
LVHK;0.490000;0.297000
MAGE;0.590000;0.297000
MAGEP;0.600000;0.297000
MAGN;0.990000;0.297000
MASZ;0.810000;0.000000
MDMBP;0.950000;0.297000
MERF;0.380000;0.003000
MFBA;0.990000;0.000000
MFGS;0.410000;0.096000
MFGSP;0.780000;0.297000
MFON;0.990000;0.297000
MGNT;0.990000;0.000000
MGNT-006D;0.990000;0.252000
MGNZ;0.990000;0.000000
MGTS;0.450000;0.066000
MGTSP;0.520000;0.261000
MGVM;0.990000;0.297000
MIKR;0.290000;0.000000
MISB;0.390000;0.297000
MISBP;0.330000;0.297000
MMBM;0.810000;0.297000
MNFD;0.010000;0.003000
MNPZ;0.990000;0.000000
MOBB;0.870000;0.102000
MOEX;0.990000;0.099000
MORI;0.950000;0.297000
MOTZ;0.490000;0.297000
MRKA;0.990000;0.003000
MRKC;0.990000;0.039000
MRKH;0.990000;0.297000
MRKH-001D;0.990000;0.102000
MRKHP;0.950000;0.297000
MRKK;0.990000;0.045000
MRKP;0.990000;0.018000
MRKS;0.750000;0.033000
MRKU;0.910000;0.015000
MRKV;0.990000;0.015000
MRKY;0.990000;0.006000
MRKZ;0.960000;0.027000
MRSB;0.630000;0.045000
MSRS;0.930000;0.003000
MSSB;0.960000;0.003000
MSST;0.490000;0.297000
MSSV;0.540000;0.024000
MSTT;0.990000;0.297000
MTLR;0.990000;0.273000
MTLRP;0.990000;0.045000
MTSI;0.990000;0.009000
MTSI-002D;0.990000;0.012000
MTSS;0.990000;0.021000
MUGS;0.540000;0.078000
MUGSP;0.740000;0.030000
MVID;0.990000;0.051000
NAUK;0.690000;0.279000
NEKK;0.590000;0.297000
NFAZ;0.680000;0.117000
NGSB;0.550000;0.066000
NGSBP;0.530000;0.009000
NKHP;0.830000;0.297000
NKNC;0.810000;0.003000
NKNCP;0.920000;0.297000
NKSH;0.490000;0.003000
NLMK;0.990000;0.054000
NMOS;0.960000;0.105000
NMTP;0.920000;0.297000
NNSB;0.640000;0.297000
NNSBP;0.600000;0.024000
NONG;0.820000;0.297000
NOTK;0.990000;0.015000
NPOF;0.810000;0.102000
NSVZ;0.930000;0.249000
NTRI;0.990000;0.297000
NVNG;0.580000;0.297000
NVNGP;0.400000;0.081000
NVTK;0.990000;0.297000
NZGZ;0.630000;0.096000
ODVA;0.990000;0.297000
OFCB;0.920000;0.168000
OGK1;0.990000;0.003000
OGK1-002D;0.990000;0.003000
OGK2;0.990000;0.003000
